Month,Revenue_Base,Revenue_Low,Revenue_High,COGS_Base,COGS_Low,COGS_High,Operating_Expenses,EBITDA_Base,EBITDA_Low,EBITDA_High,Tax_Base,Tax_Low,Tax_High,Net_Profit_Base,Net_Profit_Low,Net_Profit_High,Cumulative_Base,Cumulative_Low,Cumulative_High
Startup,0,0,0,0,0,0,0,0,0,0,0,0,0,-12000000,-12000000,-12000000,-12000000,-12000000,-12000000
Month 11,4350000,=B13*0.8,=B13*1.2,=B13*0.15,=C13*0.15,=D13*0.15,2450000,=B13-E13-H13,=C13-F13-H13,=D13-G13-H13,=IF(I13>0,I13*0.2,0),=IF(J13>0,J13*0.2,0),=IF(K13>0,K13*0.2,0),=I13-L13,=J13-M13,=K13-N13,=R12+O13,=S12+P13,=T12+Q13
Month 12,4350000,=B14*0.8,=B14*1.2,=B14*0.15,=C14*0.15,=D14*0.15,2450000,=B14-E14-H14,=C14-F14-H14,=D14-G14-H14,=IF(I14>0,I14*0.2,0),=IF(J14>0,J14*0.2,0),=IF(K14>0,K14*0.2,0),=I14-L14,=J14-M14,=K14-N14,=R13+O14,=S13+P14,=T13+Q14
Month 13,5002500,=B15*0.8,=B15*1.2,=B15*0.15,=C15*0.15,=D15*0.15,2646000,=B15-E15-H15,=C15-F15-H15,=D15-G15-H15,=IF(I15>0,I15*0.2,0),=IF(J15>0,J15*0.2,0),=IF(K15>0,K15*0.2,0),=I15-L15,=J15-M15,=K15-N15,=R14+O15,=S14+P15,=T14+Q15
Month 14,5002500,=B16*0.8,=B16*1.2,=B16*0.15,=C16*0.15,=D16*0.15,2646000,=B16-E16-H16,=C16-F16-H16,=D16-G16-H16,=IF(I16>0,I16*0.2,0),=IF(J16>0,J16*0.2,0),=IF(K16>0,K16*0.2,0),=I16-L16,=J16-M16,=K16-N16,=R15+O16,=S15+P16,=T15+Q16
Month 15,5002500,=B17*0.8,=B17*1.2,=B17*0.15,=C17*0.15,=D17*0.15,2646000,=B17-E17-H17,=C17-F17-H17,=D17-G17-H17,=IF(I17>0,I17*0.2,0),=IF(J17>0,J17*0.2,0),=IF(K17>0,K17*0.2,0),=I17-L17,=J17-M17,=K17-N17,=R16+O17,=S16+P17,=T16+Q17
Month 16,5002500,=B18*0.8,=B18*1.2,=B18*0.15,=C18*0.15,=D18*0.15,2646000,=B18-E18-H18,=C18-F18-H18,=D18-G18-H18,=IF(I18>0,I18*0.2,0),=IF(J18>0,J18*0.2,0),=IF(K18>0,K18*0.2,0),=I18-L18,=J18-M18,=K18-N18,=R17+O18,=S17+P18,=T17+Q18
Month 17,5002500,=B19*0.8,=B19*1.2,=B19*0.15,=C19*0.15,=D19*0.15,2646000,=B19-E19-H19,=C19-F19-H19,=D19-G19-H19,=IF(I19>0,I19*0.2,0),=IF(J19>0,J19*0.2,0),=IF(K19>0,K19*0.2,0),=I19-L19,=J19-M19,=K19-N19,=R18+O19,=S18+P19,=T18+Q19
Month 18,5002500,=B20*0.8,=B20*1.2,=B20*0.15,=C20*0.15,=D20*0.15,2646000,=B20-E20-H20,=C20-F20-H20,=D20-G20-H20,=IF(I20>0,I20*0.2,0),=IF(J20>0,J20*0.2,0),=IF(K20>0,K20*0.2,0),=I20-L20,=J20-M20,=K20-N20,=R19+O20,=S19+P20,=T19+Q20
Month 19,5002500,=B21*0.8,=B21*1.2,=B21*0.15,=C21*0.15,=D21*0.15,2646000,=B21-E21-H21,=C21-F21-H21,=D21-G21-H21,=IF(I21>0,I21*0.2,0),=IF(J21>0,J21*0.2,0),=IF(K21>0,K21*0.2,0),=I21-L21,=J21-M21,=K21-N21,=R20+O21,=S20+P21,=T20+Q21
Month 20,5002500,=B22*0.8,=B22*1.2,=B22*0.15,=C22*0.15,=D22*0.15,2646000,=B22-E22-H22,=C22-F22-H22,=D22-G22-H22,=IF(I22>0,I22*0.2,0),=IF(J22>0,J22*0.2,0),=IF(K22>0,K22*0.2,0),=I22-L22,=J22-M22,=K22-N22,=R21+O22,=S21+P22,=T21+Q22
Month 21,5002500,=B23*0.8,=B23*1.2,=B23*0.15,=C23*0.15,=D23*0.15,2646000,=B23-E23-H23,=C23-F23-H23,=D23-G23-H23,=IF(I23>0,I23*0.2,0),=IF(J23>0,J23*0.2,0),=IF(K23>0,K23*0.2,0),=I23-L23,=J23-M23,=K23-N23,=R22+O23,=S22+P23,=T22+Q23
Month 22,5002500,=B24*0.8,=B24*1.2,=B24*0.15,=C24*0.15,=D24*0.15,2646000,=B24-E24-H24,=C24-F24-H24,=D24-G24-H24,=IF(I24>0,I24*0.2,0),=IF(J24>0,J24*0.2,0),=IF(K24>0,K24*0.2,0),=I24-L24,=J24-M24,=K24-N24,=R23+O24,=S23+P24,=T23+Q24
Month 23,5002500,=B25*0.8,=B25*1.2,=B25*0.15,=C25*0.15,=D25*0.15,2646000,=B25-E25-H25,=C25-F25-H25,=D25-G25-H25,=IF(I25>0,I25*0.2,0),=IF(J25>0,J25*0.2,0),=IF(K25>0,K25*0.2,0),=I25-L25,=J25-M25,=K25-N25,=R24+O25,=S24+P25,=T24+Q25
Month 24,5002500,=B26*0.8,=B26*1.2,=B26*0.15,=C26*0.15,=D26*0.15,2646000,=B26-E26-H26,=C26-F26-H26,=D26-G26-H26,=IF(I26>0,I26*0.2,0),=IF(J26>0,J26*0.2,0),=IF(K26>0,K26*0.2,0),=I26-L26,=J26-M26,=K26-N26,=R25+O26,=S25+P26,=T25+Q26
Month 25,5752875,=B27*0.8,=B27*1.2,=B27*0.15,=C27*0.15,=D27*0.15,2857680,=B27-E27-H27,=C27-F27-H27,=D27-G27-H27,=IF(I27>0,I27*0.2,0),=IF(J27>0,J27*0.2,0),=IF(K27>0,K27*0.2,0),=I27-L27,=J27-M27,=K27-N27,=R26+O27,=S26+P27,=T26+Q27
Month 26,5752875,=B28*0.8,=B28*1.2,=B28*0.15,=C28*0.15,=D28*0.15,2857680,=B28-E28-H28,=C28-F28-H28,=D28-G28-H28,=IF(I28>0,I28*0.2,0),=IF(J28>0,J28*0.2,0),=IF(K28>0,K28*0.2,0),=I28-L28,=J28-M28,=K28-N28,=R27+O28,=S27+P28,=T27+Q28
Month 27,5752875,=B29*0.8,=B29*1.2,=B29*0.15,=C29*0.15,=D29*0.15,2857680,=B29-E29-H29,=C29-F29-H29,=D29-G29-H29,=IF(I29>0,I29*0.2,0),=IF(J29>0,J29*0.2,0),=IF(K29>0,K29*0.2,0),=I29-L29,=J29-M29,=K29-N29,=R28+O29,=S28+P29,=T28+Q29
Month 28,5752875,=B30*0.8,=B30*1.2,=B30*0.15,=C30*0.15,=D30*0.15,2857680,=B30-E30-H30,=C30-F30-H30,=D30-G30-H30,=IF(I30>0,I30*0.2,0),=IF(J30>0,J30*0.2,0),=IF(K30>0,K30*0.2,0),=I30-L30,=J30-M30,=K30-N30,=R29+O30,=S29+P30,=T29+Q30
Month 29,5752875,=B31*0.8,=B31*1.2,=B31*0.15,=C31*0.15,=D31*0.15,2857680,=B31-E31-H31,=C31-F31-H31,=D31-G31-H31,=IF(I31>0,I31*0.2,0),=IF(J31>0,J31*0.2,0),=IF(K31>0,K31*0.2,0),=I31-L31,=J31-M31,=K31-N31,=R30+O31,=S30+P31,=T30+Q31
Month 30,5752875,=B32*0.8,=B32*1.2,=B32*0.15,=C32*0.15,=D32*0.15,2857680,=B32-E32-H32,=C32-F32-H32,=D32-G32-H32,=IF(I32>0,I32*0.2,0),=IF(J32>0,J32*0.2,0),=IF(K32>0,K32*0.2,0),=I32-L32,=J32-M32,=K32-N32,=R31+O32,=S31+P32,=T31+Q32
Month 31,5752875,=B33*0.8,=B33*1.2,=B33*0.15,=C33*0.15,=D33*0.15,2857680,=B33-E33-H33,=C33-F33-H33,=D33-G33-H33,=IF(I33>0,I33*0.2,0),=IF(J33>0,J33*0.2,0),=IF(K33>0,K33*0.2,0),=I33-L33,=J33-M33,=K33-N33,=R32+O33,=S32+P33,=T32+Q33
Month 32,5752875,=B34*0.8,=B34*1.2,=B34*0.15,=C34*0.15,=D34*0.15,2857680,=B34-E34-H34,=C34-F34-H34,=D34-G34-H34,=IF(I34>0,I34*0.2,0),=IF(J34>0,J34*0.2,0),=IF(K34>0,K34*0.2,0),=I34-L34,=J34-M34,=K34-N34,=R33+O34,=S33+P34,=T33+Q34
Month 33,5752875,=B35*0.8,=B35*1.2,=B35*0.15,=C35*0.15,=D35*0.15,2857680,=B35-E35-H35,=C35-F35-H35,=D35-G35-H35,=IF(I35>0,I35*0.2,0),=IF(J35>0,J35*0.2,0),=IF(K35>0,K35*0.2,0),=I35-L35,=J35-M35,=K35-N35,=R34+O35,=S34+P35,=T34+Q35
Month 34,5752875,=B36*0.8,=B36*1.2,=B36*0.15,=C36*0.15,=D36*0.15,2857680,=B36-E36-H36,=C36-F36-H36,=D36-G36-H36,=IF(I36>0,I36*0.2,0),=IF(J36>0,J36*0.2,0),=IF(K36>0,K36*0.2,0),=I36-L36,=J36-M36,=K36-N36,=R35+O36,=S35+P36,=T35+Q36
Month 35,5752875,=B37*0.8,=B37*1.2,=B37*0.15,=C37*0.15,=D37*0.15,2857680,=B37-E37-H37,=C37-F37-H37,=D37-G37-H37,=IF(I37>0,I37*0.2,0),=IF(J37>0,J37*0.2,0),=IF(K37>0,K37*0.2,0),=I37-L37,=J37-M37,=K37-N37,=R36+O37,=S36+P37,=T36+Q37
Month 36,5752875,=B38*0.8,=B38*1.2,=B38*0.15,=C38*0.15,=D38*0.15,2857680,=B38-E38-H38,=C38-F38-H38,=D38-G38-H38,=IF(I38>0,I38*0.2,0),=IF(J38>0,J38*0.2,0),=IF(K38>0,K38*0.2,0),=I38-L38,=J38-M38,=K38-N38,=R37+O38,=S37+P38,=T37+Q38
